Column,A̱o,Unidades Instaladas,Produccion anual de enrgia/GWh
0,1984,0 - 2,277
1,1985,2 - 3,6327
2,1986,3 - 6,21853
3,1987,6 - 9,35807
4,1988,9 - 12,38508
5,1989,12 - 15,47230
6,1990,15 - 16,53090
7,1991,16 - 18,57517
8,1992,18,52268
9,1993,18,59997
10,1994,18,69394
11,1995,18,77212
12,1996,18,81654
13,1997,18,89237
14,1998,18,87845
15,1999,18,90001
16,2000,18,93428
17,2001,18,79307
18,2002,18,82914
19,2003,18,89151
20,2004,18,89911
21,2005,18,87971
22,2006,19,92690
23,2007,20,90620
24,2008,20,94685
25,2009,20,91651
26,2010,20,85970
27,2011,20,92245
28,2012,20,98287
29,2013,20,98630
30,2014,20,87795
31,2015,20,89215
32,2016,20,103098
33,2017,20,96387
34,2018,20,96585
35,2019,20,79445
36,Total,20,2688207
